g17.t1  Q6ID77.1        55.046  109     49      0       8       116     3       111     8.55e-40        131
g17.t1  Q9VVS4.1        23.894  113     75      3       11      120     3       107     0.009   37.4
g17.t1  Q32L03.1        24.719  89      63      2       15      100     11      98      0.51    32.0
g17.t1  Q54VV8.1        29.032  62      43      1       53      113     47      108     1.2     31.2
g17.t1  Q9V9K7.2        32.258  62      41      1       29      89      261     322     2.2     31.2
g21.t1  Q93YW7.1        51.515  198     95      1       144     340     139     336     3.13e-59        197
g21.t1  Q5N9A1.1        51.042  192     94      0       143     334     131     322     1.29e-52        179
g21.t1  A0A2K3D1C8.1    45.455  132     72      0       137     268     114     245     3.44e-32        126
g21.t1  O01916.1        34.969  163     103     3       143     304     50      210     1.53e-25        106
g21.t1  Q5U2V5.1        33.171  205     131     5       142     345     102     301     2.10e-21        96.3
g59.t1  Q6GPP7.1        22.034  177     106     4       446     615     407     558     4.58e-08        59.7
g59.t1  Q96SK2.2        20.904  177     108     4       446     615     408     559     1.38e-07        58.2
g59.t1  Q96SK2.2        33.333  60      39      1       275     333     303     362     0.50    37.0
g59.t1  Q8BRG8.1        20.904  177     108     4       446     615     408     559     1.77e-07        57.8
g59.t1  Q8BRG8.1        35.000  60      38      1       275     333     303     362     0.23    38.1
g59.t1  Q5M7R3.2        22.034  177     102     5       446     615     407     554     1.92e-07        57.8
g59.t1  Q68FR5.1        20.339  177     109     4       446     615     408     559     4.58e-07        56.6
g59.t1  Q68FR5.1        35.000  60      38      1       275     333     303     362     0.24    38.1
g64.t1  Q8C5G2.2        31.841  201     112     3       168     344     96      295     1.00e-20        97.4
g64.t1  Q86V25.2        31.343  201     113     3       168     344     96      295     1.29e-20        97.1
g64.t1  Q7L8A9.1        27.551  196     121     1       168     342     107     302     2.17e-18        90.5
g64.t1  Q8C1W1.4        28.061  196     120     1       168     342     117     312     2.96e-18        90.1
g64.t1  Q4WRP2.1        35.938  64      35      2       348     405     468     531     4.1     33.9
g69.t1  Q8H7F6.2        28.571  77      51      1       241     313     85      161     1.04e-04        47.8
g69.t1  Q91XE8.1        33.333  60      37      2       437     496     5       61      0.092   38.1
g69.t1  Q6UW68.1        51.613  31      14      1       466     496     32      61      0.16    37.4
g69.t1  Q5REM8.1        51.613  31      14      1       466     496     32      61      0.16    37.4
g69.t1  Q32L10.1        33.333  57      31      3       440     496     12      61      0.65    35.4
g25.t1  Q0IIS3.1        25.000  300     186     10      115     399     84      359     1.87e-14        77.4
g25.t1  Q02104.2        24.643  280     174     9       115     389     54      301     4.19e-14        75.9
g25.t1  P24640.1        25.095  263     162     11      126     385     67      297     5.49e-13        72.8
g25.t1  P19076.1        40.741  108     60      2       124     227     27      134     6.15e-13        72.0
g25.t1  P0A573.1        33.613  119     79      0       109     227     20      138     1.87e-12        71.2
g26.t1  P51423.2        97.656  128     3       0       33      160     1       128     1.76e-89        259
g26.t1  P49636.2        96.875  128     4       0       33      160     1       128     2.29e-89        259
g26.t1  B9DHA6.1        96.875  128     4       0       33      160     1       128     7.84e-89        258
g26.t1  P0CH34.1        96.875  128     4       0       33      160     1       128     8.65e-89        257
g26.t1  P0CH10.1        93.750  128     8       0       33      160     1       128     3.42e-86        251
g30.t1  E1UV19.1        37.931  58      33      1       70      124     9       66      0.15    34.7
g30.t1  Q61687.3        29.000  100     67      2       2       100     887     983     0.53    33.5
g30.t1  P20533.1        35.484  62      33      2       4       59      305     365     1.7     32.0
g30.t1  Q70JY7.1        31.579  76      49      1       52      124     25      100     2.0     31.6
g183.t1 Q9LXG1.1        87.166  187     24      0       1       187     1       187     3.18e-120       341
g183.t1 Q9FLF0.1        86.096  187     26      0       1       187     1       187     1.34e-117       334
g183.t1 B4PEU8.1        71.930  171     48      0       10      180     10      180     2.61e-89        263
g183.t1 A6QLG5.1        70.811  185     53      1       12      196     11      194     4.17e-89        262
g183.t1 O59675.3        72.414  174     48      0       8       181     6       179     1.03e-88        261
g187.t1 Q888B8.1        30.556  108     69      3       49      156     164     265     2.9     32.0
g187.t1 Q0VQE3.1        29.293  99      61      5       44      137     91      185     5.2     30.8
g189.t1 Q7XKV2.2        56.000  150     65      1       7       156     357     505     2.75e-54        181
g189.t1 B8AVF0.1        55.705  149     65      1       7       155     361     508     3.16e-53        179
g189.t1 Q7XKV4.2        55.705  149     65      1       7       155     361     508     3.33e-53        179
g189.t1 Q7XKV5.2        52.941  153     71      1       7       159     361     512     3.75e-50        171
g189.t1 Q7F9K4.1        53.896  154     70      1       3       156     380     532     1.48e-49        169
g193.t1 O64896.1        50.660  379     177     6       55      430     11      382     8.05e-127       375
g193.t1 F4KFG5.1        55.108  323     131     4       110     432     58      366     1.61e-126       374
g193.t1 Q67X99.1        54.348  322     125     3       109     430     50      349     9.31e-126       371
g193.t1 Q9FWQ2.1        48.985  394     183     7       46      433     1       382     9.71e-125       370
g193.t1 Q8GWG2.1        55.077  325     127     4       109     433     42      347     1.58e-124       368
